drug_id	drug_label	y_true	prediction	iteration
449215	cycloserine	0	0.6258791	0
5379	gatifloxacin	0	0.0038695529	0
6603931	MRS-1754	0	0.0030992534	0
5318562	isoeugenol	0	0.08867861	0
73707453	benzathine	0	0.010339794	0
152946	moxifloxacin	0	0.0050526145	0
44137675	AZD-6482	0	0.061390817	0
5284329	purmorphamine	0	0.0021501235	0
4909	primidone	0	0.074899964	0
73707546	garcinol	0	0.0058522127	0
42760	olvanil	0	0.060470633	0
16736529	BIIB-021	0	0.07436512	0
5717737	SAL-003	0	0.124380395	0
73707476	pivampicillin	0	0.014815723	0
42636350	AZD-7687	0	0.036287807	0
5362124	benazepril	0	0.9519502	0
15604015	ABC-294640	0	0.11883753	0
3822	ketanserin	0	0.027234662	0
9913	xanthinol	0	0.018892296	0
132862	targinine	0	0.20852004	0
3686	idebenone	0	0.054871596	0
5458428	cytochalasin-d	0	0.05271358	0
2895	cyclobenzaprine	0	0.12626494	0
54676537	acenocoumarol	0	0.03263026	0
224246	isoflupredone-acetate	0	0.21324502	0
56839178	TP-0903	0	0.018790303	0
5311221	latanoprost	0	0.37159932	0
4886	pramocaine	0	0.44688115	0
53245449	TUL_XIX002	0	0.001505249	0
25181195	PI-828	0	0.01276659	0
5961	glutamine	0	0.1725543	0
49848070	taladegib	0	0.02857507	0
3494	glycopyrrolate	0	0.044438932	0
16747776	CHEMBL-399379	0	0.011706175	0
641266	anabasine	0	0.47598234	0
129009918	pregnenolone	0	0.2910498	0
42611257	vemurafenib	0	0.0057248753	0
5282136	lafutidine	0	0.09416306	0
11705608	APD-668	0	0.022283437	0
60160561	EPZ-005687	0	0.011223582	0
187079	EMD-53998	0	0.0035446198	0
73707538	BG-1009	0	0.01494545	0
5215	sulfadiazine	0	0.051835034	0
454468	QC-ASN-PHE-PSI [CH(OH)CH2N]DIQ-NH-TBU	0	0.025268191	0
5310993	acipimox	0	0.08642289	0
5316606	piceid	0	0.03660345	0
60464	sparfloxacin	0	0.004361156	0
12560	erythromycin	0	0.022735126	0
5625	delavirdine	0	0.0019917835	0
5318	sulconazole	0	0.04877444	0
51003716	CVF-SUMO-11	0	0.016867617	0
71277	erythromycin-estolate	0	0.060313277	0
638024	piperine	0	0.04983419	0
3291	ethosuximide	0	0.40064567	0
2141	amifostine	0	0.13234217	0
5290	L-stepholidine	0	0.01777462	0
65833	milnacipran	0	0.051230974	0
54654463	SA-1472542	0	0.004377134	0
42433517	baicalin	0	0.006526242	0
5002	quetiapine	0	0.010966185	0
10767	amyleine	0	0.04496515	0
135925692	propylpyrazole	0	0.005411797	0
2075	aklomide	0	0.0196507	0
4167	metixene	0	0.20214818	0
24094067	I-303059	0	0.08718957	0
442894	desoxypeganine	0	0.13615647	0
3448	gaboxadol	0	0.63513684	0
3038495	BP-897	0	0.0011138418	0
51039	cefaclor	0	0.010805709	0
45281801	VU-0365121-1	0	0.004756308	0
71077	D-serine	0	0.50210387	0
4170	metolazone	0	0.005969967	0
3616	hexamethylenebisacetamide	0	0.414144	0
44623946	N-6022	0	0.014516392	0
38081	flunixin	0	0.021855539	0
91769	zolantidine	0	0.048972737	0
16666708	AZD-8330	0	0.120887	0
3542	H-7	0	0.0018737405	0
135409468	desmethylclozapine	0	0.03123358	0
11822705	BCL2-inhibitor	0	0.12919998	0
130313	sulbactam	0	0.03782722	0
9681	methysergide	0	0.0023533762	0
54668348	SA-1922975	0	0.053042937	0
46244454	AZ-20	0	0.034731995	0
10275777	betrixaban	0	0.00636687	0
3101	diphenyleneiodonium	0	0.038554456	0
3689416	K784-3188	0	0.03861301	0
11998575	palomid-529	0	0.006448136	0
9956222	YM-201636	0	0.006617913	0
24772043	tenovin-6	0	0.057972074	0
446378	thapsigargin	0	0.018186929	0
70882	moxaverine	0	0.016724374	0
196841	FR-122047	0	0.0036612013	0
2688	CGP-37157	0	0.27155647	0
2187	anastrozole	0	0.946117	0
6604887	Ro-25-6981	0	0.046148863	0
5501	todralazine	0	0.07327145	0
19675	piperacetazine	0	0.011911856	0
3547	fasudil	0	0.0021308863	0
40854	oxfendazole	0	0.02581633	0
3969	tomelukast	0	0.010955836	0
3657	hydroxyurea	0	0.7838906	0
10160238	tasisulam	0	0.006271944	0
23633604	LX-1031	0	0.016756475	0
127404	isamoltane	0	0.19525272	0
10173277	STA-5326	0	0.009210645	0
5240	iodoacetic-acid	0	0.38341457	0
11609586	serdemetan	0	0.06780726	0
58144	indolophenanthridine	0	0.030137144	0
2819095	KM-00799	0	0.11849722	0
54676038	dicoumarol	0	0.00898452	0
5369129	kavain	0	0.040680747	0
770820	O-3M3FBS	0	0.011641676	0
2355	bergapten	0	0.013020221	0
4622	oxibendazole	0	0.1058264	0
11715767	PHA-767491	0	0.01847795	0
10370504	UK-356618	0	0.17162727	0
6173479	MW-STK33-4A	0	0.008739776	0
5280954	rescinnamine	0	0.078035064	0
39981	sparfosic-acid	0	0.40750906	0
44483164	KU-C103853	0	0.033374082	0
37768	Amikacin	0	0.919213	0
